server,server_name_slug,network_name,country_code,as
melocoton.chatzona.org,Chatzona-melocoton_chatzona_org-FR-AS16276,Chatzona,FR,AS16276 OVH SAS
sakura.jp.as.dal.net,DALnet-sakura_jp_as_dal_net-JP-AS212238,DALnet,JP,AS212238 Datacamp Limited
punch.wa.us.dal.net,DALnet-punch_wa_us_dal_net-US-AS14987,DALnet,US,AS14987 Rethem Hosting LLC
#choopa.nj.us.dal.net,DALnet-choopa_nj_us_dal_net-US-AS20473,DALnet,US,AS20473 The Constant Company, LLC
bitcoin.uk.eu.dal.net,DALnet-bitcoin_uk_eu_dal_net-GB-AS212238,DALnet,GB,AS212238 Datacamp Limited
#lion.tx.us.dal.net,DALnet-lion_tx_us_dal_net-US-AS40676,DALnet,US,AS40676 Psychz Networks
#atw.hu.eu.dal.net,DALnet-atw_hu_eu_dal_net-HU-AS41075,DALnet,HU,AS41075 ATW Internet Kft.
#lair.nl.eu.dal.net,DALnet-lair_nl_eu_dal_net-NL-AS40676,DALnet,NL,AS40676 Psychz Networks
#halcyon.il.us.dal.net,DALnet-halcyon_il_us_dal_net-US-AS14987,DALnet,US,AS14987 Rethem Hosting LLC
#bifrost.ca.us.dal.net,DALnet-bifrost_ca_us_dal_net-US-AS46844,DALnet,US,AS46844 Sharktech
nonstop.ix.me.dal.net,DALnet-nonstop_ix_me_dal_net-SE-AS31800,DALnet,SE,AS31800 DALnet
serenity.fl.us.dal.net,DALnet-serenity_fl_us_dal_net-US-AS212238,DALnet,US,AS212238 Datacamp Limited
ing.hackint.org,hackint-ing_hackint_org-NL-AS198203,hackint,NL,AS198203 RouteLabel V.O.F.
chaostal.hackint.org,hackint-chaostal_hackint_org-DE-AS61157,hackint,DE,AS61157 PlusServer GmbH
nuke.hackint.org,hackint-nuke_hackint_org-DE-AS200603,hackint,DE,AS200603 FIXME GmbH
irc.snoonet.org,Snoonet-irc_snoonet_org-DE-AS14061,Snoonet,DE,AS14061 DigitalOcean, LLC
irc2.acc.umu.se,GIMPnet-irc2_acc_umu_se-SE-AS2833,GIMPnet,SE,AS2833 Umea University
irc4.acc.umu.se,GIMPnet-irc4_acc_umu_se-SE-AS2833,GIMPnet,SE,AS2833 Umea University
irc.eagle.y.se,GIMPnet-irc_eagle_y_se-NL-AS12876,GIMPnet,NL,AS12876 SCALEWAY S.A.S.
irc.gimp.ca,GIMPnet-irc_gimp_ca-CA-AS16276,GIMPnet,CA,AS16276 OVH SAS
godzilla.jp.p2p-network.net,P2P-NET-godzilla_jp_p2p-network_net-JP-AS63949,P2P-NET,JP,AS63949 Akamai Connected Cloud
